,tx_type,date,punk_id,transfer_count,eth_amount,dollar_amount,floor_price,mean_offer,median_offer,min_sale_price,min_bid,mean_bid,median_bid,floor_sale_target,discount_target,premium_target
7501,Sold,2020-12-26,9708,2.0,5,3213,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7502,Sold,2020-12-26,2129,5.0,5.75,3614,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7503,Sold,2020-12-26,8817,2.0,4.88,3136,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7504,Sold,2020-12-26,3439,0.0,4.90,3149,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7505,Sold,2020-12-26,6936,4.0,5.25,3417,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7506,Sold,2020-12-26,2681,1.0,83,54018,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7507,Sold,2020-12-26,9904,0.0,5,3213,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7508,Sold,2020-12-26,6649,4.0,36,22875,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7509,Sold,2020-12-26,3655,0.0,5,3213,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7510,Sold,2020-12-26,1524,1.0,4.40,2828,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7511,Sold,2020-12-26,4452,0.0,5.70,3663,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7512,Sold,2020-12-26,9225,1.0,3,1906,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,1,0,0
7513,Sold,2020-12-26,5367,1.0,4.94,3175,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7514,Sold,2020-12-26,8512,3.0,4.49,2886,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7515,Sold,2020-12-26,7777,3.0,10,6427,3.0,275.78578947368425,7.345000000000001,3.0,2.5,6.591666666666668,3.425,0,0,1
7516,Sold,2020-12-27,5404,1.0,5.50,3484,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7517,Sold,2020-12-27,2937,3.0,5.99,3906,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7518,Sold,2020-12-27,5705,2.0,5.40,3608,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7519,Sold,2020-12-27,9502,0.0,5.99,3859,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7520,Sold,2020-12-27,8021,0.0,4.92,3194,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,1,0
7521,Sold,2020-12-27,9998,0.0,15,9499,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7522,Sold,2020-12-27,9947,2.0,5.50,3781,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7523,Sold,2020-12-27,5752,2.0,4.49,2922,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,1,0
7524,Sold,2020-12-27,3922,3.0,4.95,3464,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,1,0,0
7525,Sold,2020-12-27,4528,2.0,5.25,3412,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7526,Sold,2020-12-27,5762,1.0,5.39,3415,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7527,Sold,2020-12-27,6152,6.0,8,5162,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7528,Sold,2020-12-27,1518,1.0,5.25,3412,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7529,Sold,2020-12-27,2194,2.0,5.24,3405,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7530,Sold,2020-12-27,6094,4.0,5.31,3424,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7531,Sold,2020-12-27,3549,3.0,5.12,3330,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7532,Sold,2020-12-27,3340,0.0,0.70,476,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,1,0
7533,Sold,2020-12-27,9447,8.0,9.50,6167,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7534,Sold,2020-12-27,7705,1.0,6,4242,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
